Postcode,Number of individuals lodging an income tax return,Average taxable income or loss,Average salary or wages,Average net rent,Median net rent,Average total income or loss,Count net tax,Average net tax,Median net tax,Average super total accounts balance,Median super total accounts balance
3747,3039,59768,61648,4890,2818,62627,2159,17458,10931,202796,100620
3749,1289,64436,63036,4005,3802,67530,941,18992,12524,214504,114480
3750,14652,58752,61910,-2032,-1606,61066,11446,14403,10236,58462,28299
3751,131,69498,58144,11394,7235,71868,94,23052,12909,256868,50912
3752,15237,64078,65373,-1051,-1063,66697,12045,16814,11730,111095,56597
3753,3069,66479,68994,-936,-1085,69388,2492,17005,12508,111479,50005
3754,29665,64967,67426,-1778,-1633,67769,23604,16904,12403,105239,55430
3755,125,69481,66825,3705,1158,71969,93,23486,9996,172833,80260
3756,9851,62208,64063,209,-154,64970,7814,15680,10962,109892,51505
3757,5422,66491,65724,1665,184,69482,4129,19324,11436,161818,77914
3758,1339,63801,67015,-150,134,67150,1024,17551,12545,160428,88401
3759,692,110278,78448,3100,2446,114354,512,47135,15368,269552,115035
3760,269,69590,73024,4882,2319,73485,203,21471,11225,229679,120684
3761,761,70805,68845,3785,3616,74253,566,22028,13551,197314,88536
3762,71,80536,70050,7440,4143,83499,53,28188,12765,315496,101840
3763,1051,60733,64904,1611,1299,63642,800,15913,10612,146036,76710
3764,5906,66778,65082,2222,642,69786,4497,19245,11793,154507,70364
3765,4119,68098,68750,1829,539,71308,3160,19690,13165,181587,91261
3766,730,68019,73718,1066,1436,71528,553,19903,14324,184818,93633
3767,724,75222,78186,1372,36,79170,526,25636,15113,193543,100739
3770,2037,86381,64068,5224,1899,90296,1533,31888,11988,207598,76057
3775,2571,68139,66893,3893,1877,71429,1898,20876,12128,204658,84404
3777,6303,59539,59590,3434,1692,62384,4604,16525,9927,162277,71307
3778,136,50764,57354,11597,1347,53388,98,12942,9154,115486,54427
3779,296,50063,48433,7329,6486,54354,180,16390,7888,198964,69491
3781,2683,63565,63726,1920,233,66333,2090,16968,11583,129491,74029
3782,4972,70088,68898,2608,970,74425,3729,21672,13615,187903,94102
3783,1507,66482,65691,1718,1033,68960,1148,19281,11734,157153,83903
3786,951,79705,78107,719,553,83186,704,27453,16025,232538,118086
3787,653,77507,72980,4247,1264,81314,456,28573,14450,225088,108355
3788,1106,75065,74269,2918,342,78229,797,26249,12980,217070,107166
3789,169,86933,81421,5280,5265,90459,128,29659,18976,336239,183041
3791,896,73144,74774,2487,1166,76567,674,23098,14666,229848,104713
3792,641,71058,70820,2355,1503,74607,470,22203,12754,229775,115795
3793,2156,64466,61463,3780,1610,67360,1576,19494,11085,153340,75695
3795,901,66643,60452,4137,2149,69965,679,19257,11487,184936,72617
3796,5938,63339,64009,1701,195,66184,4548,17169,11968,136675,73311
3797,2079,55411,57335,3411,2322,57897,1473,14998,9680,133754,62742
3799,3190,52718,55104,2683,1018,54965,2331,12986,8518,120237,59871
3802,14135,56815,60817,695,-14,59141,10448,14767,10132,111178,48065
3803,6090,51958,55220,0,-224,53995,4492,12171,8264,88432,32395
3804,5385,79380,69278,1723,254,83078,4145,26104,13852,237597,79710
3805,34456,59022,60404,-982,-885,61425,26326,15212,10028,104398,44004
3806,31595,82924,69677,-788,-1109,86005,24359,28472,13063,158722,63789
3807,4922,74451,71775,-499,-726,77923,3876,22292,13830,179473,82068
3808,2012,106105,75200,2124,35,110221,1596,41593,15858,269804,111977
3809,12960,64992,66663,-1625,-1352,67585,10582,16255,11932,87518,43135
3810,32270,57671,59645,-632,-807,60043,24829,14140,9922,90240,39783
3812,1549,62557,63201,1487,74,65898,1143,18158,11858,172017,80407
3813,582,60196,61659,5548,2598,64285,436,16365,11184,160639,70001
3814,1521,64981,63642,2117,140,67945,1132,19058,11519,166080,72562
3815,2138,92246,64288,-25,616,95785,1604,35858,11726,160757,75418
3816,1825,57559,58096,2473,661,60122,1352,14847,10387,107715,53288
3818,10169,57192,59829,2619,987,60831,7600,14676,9661,135725,60744
3820,12354,63989,63315,3305,957,66976,9267,18202,11197,176825,68473
3821,1877,62077,60511,4568,1602,66384,1324,19879,11639,197465,82935
3822,671,59758,62110,3505,2146,62742,492,16870,12405,156588,67418
3823,1323,58385,61930,3161,1457,62569,961,16074,10225,180858,69538
3824,3150,64581,63440,3709,2158,68006,2279,19823,10994,182778,81539
3825,11005,56401,60037,1824,894,58903,8002,14992,9096,152949,58890
3831,1158,64665,60086,2176,1015,67662,830,20655,9723,181556,81134
3832,164,49458,47072,5921,4998,55131,106,13545,9332,197797,75042
3833,190,44047,51212,5050,8335,47027,112,12369,7117,120266,43145
3835,343,55460,54461,3476,3168,58478,237,15692,9184,163225,68358
3840,8516,55209,57256,3350,1873,57454,6048,14739,8648,150984,52497
3842,2542,53748,56687,2725,1956,55852,1812,13730,8664,144047,49186
3844,18365,67977,69561,1369,677,70904,14243,19244,12082,184888,75790
3847,1267,55261,61734,1993,1591,58811,924,14759,9532,139700,57935
3850,8696,63890,63425,2443,1241,66984,6489,18164,10404,180449,67892
3851,2878,57602,61954,3899,2607,61237,1981,18010,9588,174286,78386
3852,100,73138,75523,2731,3306,75399,94,15095,13158,109286,31629
3854,952,69326,72862,3565,2145,72942,751,19520,13170,213922,98041
3856,652,60970,66534,238,-114,63681,486,16904,11624,186895,84668
3857,222,51034,63366,5340,3186,55059,158,16168,8911,168155,60672
3858,1794,52209,58866,3828,1434,56453,1294,14162,8952,132717,60362
3859,496,54762,59403,5153,4222,59625,346,14968,9707,139143,50255
3860,4319,58929,60525,3457,1752,62567,3127,16711,9457,155452,70037
3862,2215,55715,61709,2217,1707,58864,1618,14750,10273,144842,66599
3864,124,46141,49048,3651,3654,48761,84,10796,6786,98802,44890
3865,342,49475,51092,6069,1234,53598,262,10814,5137,111785,31180
3869,1157,65351,71847,2309,2036,68247,847,20099,12010,198685,86713
3870,736,52138,61180,2642,1731,54542,504,14279,9583,167468,75907
3871,1687,58150,62464,2887,2011,61133,1175,17071,10748,171912,78768
3873,206,48773,62805,4985,4268,51697,132,14045,10034,158033,79515
3874,389,107669,52777,7895,4217,112174,242,58466,7986,179054,77660
3875,11544,54083,53920,4750,2610,56832,8361,13736,8385,146742,61150
3878,760,54402,56552,3741,1858,57085,537,13979,8106,218562,94205
3880,2283,51071,53747,4456,2636,53532,1442,15177,7664,230577,97136
3882,835,54029,55978,2767,3074,57294,615,13243,9102,138563,67581
3885,1117,49272,53782,2845,916,51741,789,11847,7935,121499,62518
3886,215,50081,53591,3705,1671,52987,143,12849,6986,161734,51242
3887,188,50013,60417,2718,1423,52771,104,20790,6202,85334,35131
3888,1870,50850,49947,4903,2492,53699,1296,12864,7302,145228,60298
3889,70,29050,44609,-775,1243,30892,27,9379,7014,126843,55052
3890,171,43547,47495,10104,2766,44883,97,13047,8450,121780,47298
3891,67,42416,49102,9080,6751,43809,40,10854,6365,136527,77855
3892,612,46520,41109,6291,5254,49076,392,12215,7153,181639,73172
3895,121,45383,40153,5594,6277,51813,70,13147,7850,121955,68592
3896,227,54956,50796,6921,2487,58433,152,15230,9053,174741,73252
3898,411,51808,50830,6503,3727,54557,282,13721,7949,129355,53785
3900,109,63506,46140,6397,4268,68839,80,15968,8617,140708,71995
3902,245,47621,53171,4189,1547,51325,162,12563,7216,173331,75035
3903,456,50129,54818,1985,2797,52822,310,13112,8129,157504,69785
3904,1071,55648,56687,3723,2318,58411,681,18251,9144,225879,96990
3909,4467,48807,50393,4549,2638,51170,2954,12859,6973,168252,65648
3910,14282,65776,66572,603,-235,68706,11304,17475,12151,148077,78492
3911,2163,67817,64688,4498,1759,71235,1694,19151,11153,161298,75331
3912,9535,66155,63229,2493,550,69236,7401,18417,11458,150787,74821
3913,2250,66656,62938,4899,1957,69808,1691,19944,11275,175714,74978
3915,5504,58107,58900,2690,776,60805,4067,15214,9496,131178,54139
3916,660,166284,79671,3024,3497,172211,452,89439,17914,643344,177560
3918,2575,64805,63919,2938,834,67636,1894,19229,10894,167951,80497
3919,1909,57528,58797,158,62,60109,1474,13880,9192,108778,58549
3920,404,62775,64366,-778,30,64970,351,12798,8997,128760,23900
3921,70,57637,80255,7739,8620,61500,43,21131,6115,148737,52285
3922,5586,53621,53692,4603,2672,56572,3730,15483,7664,185638,76067
3923,462,79096,65144,5175,3920,82869,299,33421,10498,295413,125201
3925,2600,61091,60291,3952,2554,64279,1865,18113,10479,204812,84820
3926,2181,105706,72629,6076,2425,111546,1562,45698,15009,369511,124758
3927,1078,98767,74100,5718,4161,103319,770,41448,13699,365967,140795
3928,313,123843,79285,12449,4516,130573,225,57045,19279,468454,122338
3929,723,150867,84904,7336,4955,158176,494,77898,18027,824636,259239
3930,11515,105186,87016,2217,864,109742,8645,41646,18814,333329,135257
3931,14979,70979,68178,3106,1379,74106,10785,23383,12605,227794,95574
3933,720,90410,72101,5335,4904,94227,538,34511,13098,287582,85143
3934,12080,82981,72570,2889,1142,86971,8891,29560,14710,255544,107650
3936,7694,66820,62634,4638,2242,70136,5443,21909,10732,225881,86187
3937,1053,115095,88003,8508,6500,120853,768,50143,16056,472582,137375
3938,2056,62794,62855,5956,3859,66193,1410,20193,10629,280125,109734
3939,8589,59902,57870,3570,1531,62613,6026,18003,9047,177186,69275
3940,2359,53799,52267,5268,3930,56282,1578,15264,7491,140268,50633
3941,7637,62814,60482,4227,2356,65896,5319,20046,9033,194444,74649
3942,1686,84214,75306,5795,3455,88615,1108,35862,13210,428695,139532
3943,1241,126272,76823,14992,6156,138805,860,60133,16880,726919,218107
3944,586,221867,98757,9603,8338,240097,444,111963,28351,1606554,543313
3945,643,55394,59103,2725,1319,58546,430,17490,10933,201982,83119
3946,174,62174,56708,1330,115,65584,126,17797,9023,193400,87080
3950,2870,56078,57418,2371,1346,59048,2074,15099,9082,140472,66416
3951,669,52218,53964,4625,3279,55800,452,14989,8645,189295,83961
3953,4891,56364,55530,4084,2540,59766,3491,15502,9494,184373,74775
3954,267,58421,56762,1413,856,62885,181,17399,9642,224732,95443
3956,1660,55278,54067,4492,2298,59474,1086,17280,9458,200928,81148
3957,207,50642,51122,2521,4550,59539,155,10900,6220,196983,61385
3958,172,58765,44360,5652,-51,61264,117,18007,8610,119208,44807
3959,729,54494,55858,7297,4786,58366,480,18298,9816,228265,90137
3960,1556,54610,55290,4427,2911,58298,994,17202,9153,213738,86513
3962,522,43806,53211,1751,83,47505,338,14051,7608,143606,64039
3964,108,64692,59658,2690,2001,70950,88,15692,7472,157996,86864
3965,118,44007,52796,3522,722,46824,71,11882,8045,218344,95430
3966,316,57841,49237,4157,2026,62516,217,18296,7418,125791,60872
3967,72,62330,53791,4520,2244,65404,48,19111,13003,132308,51770
3971,2322,47455,53748,3281,1912,51361,1516,12853,7591,156015,69842
3975,10783,61628,65338,-2434,-1788,64036,8450,15697,11462,79927,40370
3976,14153,50695,53825,-1159,-871,52716,10758,10942,8195,66864,26284
3977,68492,59082,61388,-1206,-1177,61522,53658,14468,10214,88940,40643
3978,28771,60670,63163,-1739,-1623,63189,23212,14552,10704,59774,30481
3979,238,54570,60446,6252,3203,57900,161,16525,10426,199630,88412
3980,2129,61768,62063,3068,401,64428,1673,15847,10827,139245,75227
3981,3219,59650,59645,2892,906,62781,2502,15080,10356,100647,42042
3984,4375,57682,59042,4212,1266,60432,3279,15233,9866,123905,57264
3987,944,57959,60701,586,-226,60649,733,14193,10377,127577,73363
3988,712,52888,56420,3495,1352,56108,494,13896,8986,161296,69295
3990,95,52743,52824,9687,7239,56584,69,12159,10413,231450,106770
3991,264,51405,54612,1060,-158,53908,172,15231,8999,114732,49188
3992,771,52235,53377,648,892,55219,558,12367,7626,136992,54253
3995,6385,51163,51582,2820,2043,53932,4409,13394,7328,156846,63023
3996,3792,62970,62260,3540,2038,66824,2541,20879,11195,280361,112853
4000,15199,83490,67783,5006,2034,86730,11259,30818,11126,155127,17257
4005,12508,129088,97213,4119,1984,134474,10510,48868,18496,319274,82284
4006,19238,81437,74474,1568,861,84823,16123,24175,12666,146250,30967
4007,11075,131756,95582,4336,1797,139082,9079,52196,17217,332008,80332
4008,203,69078,65342,3359,3135,71794,168,17607,13648,138565,57936
4009,58,98795,80538,-1660,-1360,101460,51,31380,15155,144340,41161
4010,2709,76536,75957,2365,849,79779,2265,21044,13424,161457,51401
4011,10695,116562,92647,1899,1117,121233,8725,43563,17132,277207,90664
4012,15919,80937,78768,2181,862,84151,13213,23644,14485,170821,74045
4013,3423,77776,75580,791,591,80690,2776,22941,13388,162721,67364
4014,8713,77134,77293,1880,303,80167,7151,21975,15031,163260,85446
4017,23090,69173,71117,2183,987,71943,18229,19169,13010,179644,89873
4018,8410,60736,63649,355,-25,62790,6522,15388,10870,120373,53407
4019,12001,62370,64594,3194,1617,65094,9069,16935,10921,164510,77740
4020,15841,70159,70384,4110,1878,73496,11669,22013,12262,220634,92921
4021,5191,53980,57115,1948,918,56161,3835,13018,8962,118515,53420
4022,3909,54008,57547,2221,616,56197,2890,13010,9031,115544,47299
4025,115,56506,60045,10486,5964,59108,86,14605,9326,95205,47106
4030,12608,89152,82074,2300,794,92582,10560,27768,14393,181761,60263
4031,9425,83886,81907,2083,924,87215,7864,24865,15651,185328,87947
4032,11838,65351,66641,3637,1186,67823,9251,17582,11605,150959,52336
4034,29157,66189,68404,2690,998,68815,22529,18258,12462,172287,72394
4035,18184,82441,79738,2916,450,85966,14256,26517,15782,240465,108247
4036,4334,61152,64407,272,8,63585,3462,14837,11072,128000,68164
4037,5190,76153,76883,496,322,79350,4162,22020,15290,201832,111698
4051,19330,102980,88700,1467,883,112267,16026,35220,16263,222797,90141
4053,30508,75507,76556,1811,616,78495,24845,21268,14381,189176,89571
4054,8660,68512,71851,1035,169,71053,6845,18630,13639,176050,92615
4055,14092,77399,78821,751,140,80394,11213,22917,16194,222039,120625
4059,8827,81901,73293,1986,863,84892,6777,27454,13762,177530,40337
4060,8799,109315,96685,1931,1291,113716,7107,39712,19666,278714,127575
4061,11049,89293,87251,1853,732,92886,8510,30886,18312,283219,136918
4064,8887,111466,90730,1649,1327,115982,7265,40691,17547,244510,67254
4065,6511,123728,106380,1886,1104,129069,5292,46898,23696,320270,146407
4066,12925,90918,79587,2467,1408,94460,10089,31894,14859,234771,53299
4067,6961,77848,65863,3689,2610,81067,4487,33079,13314,275426,25460
4068,17064,100286,81241,4214,1643,104240,12968,38653,15444,289173,63303
4069,23000,111380,96738,2450,1413,115940,17510,44122,21047,341204,137525
4070,7570,78678,80137,1527,460,81785,5845,24686,16550,213478,99429
4073,5831,85841,86017,1609,938,89279,4519,28469,17918,251664,122981
4074,15484,73947,75697,1793,1002,77086,11779,22796,15353,227268,99441
4075,16007,88486,84358,2121,1065,92037,12693,29238,16473,236357,98271
4076,2961,56645,58278,3607,1582,58818,2266,13649,9630,92202,36351
4077,19084,50136,51721,2187,903,52040,13932,11290,7878,65532,19190
4078,15815,60124,63065,1042,8,62427,12327,14966,10729,118869,49439
4101,24091,81559,73735,2948,1522,84966,18530,27399,13874,177132,37452
4102,7858,65779,63352,2063,1178,68330,6011,18973,10982,109169,23750
4103,10253,72299,69881,3011,1468,75200,8226,20662,12610,150947,46909
4104,4847,93467,79527,4457,1376,97135,3802,33021,15123,257161,83100
4105,9135,80994,75587,2514,1095,84596,7442,24573,14283,212601,81158
4106,1044,58203,57578,-433,-724,60579,814,14477,9571,90964,34533
4107,4334,69440,71210,969,544,72074,3493,18681,13243,145666,74111
4108,4177,55407,56803,3019,1472,57459,3100,14066,8896,91982,27108
4109,24954,55090,54956,4173,2604,57564,17076,16281,8449,131986,26371
4110,10721,59043,61589,988,183,61391,8484,14174,10302,76589,31574
4111,661,56882,59783,7849,3423,59107,462,15992,11140,162620,58812
4112,5122,62400,65999,1953,1083,65058,3719,18452,11037,141470,43459
4113,19045,57398,59415,2409,1526,59820,13817,15801,9548,129596,34811
4114,14027,43591,45653,1286,796,45459,9672,8897,6454,52968,14153
4115,12670,60081,63646,538,17,62469,9640,15693,11132,127836,50157
4116,17164,58980,61450,1982,869,61395,12506,16532,10294,117941,36084
4117,1499,57696,59878,-506,73,60315,1175,13787,10063,66512,27666
4118,19353,56867,58901,872,125,59232,15033,13482,9709,101274,42540
4119,4251,61960,63580,598,428,64442,3228,16874,10678,110812,42920
4120,7314,76837,73814,2301,1124,79874,6090,21620,13223,151117,52612
4121,16609,89884,84194,1863,526,93441,13498,28841,17402,222498,106922
4122,29130,66761,69011,2496,919,69417,22206,19100,12708,160332,62032
4123,14425,68961,67522,1492,576,71734,11064,20395,12538,138513,60886
4124,14893,62745,63606,758,-28,65356,11824,15870,11159,115674,53901
4125,8551,54794,57096,1235,851,57353,6572,12672,8992,88700,28611
4127,15913,60584,62192,1898,811,63178,12192,15726,10304,129774,52299
4128,10708,65922,68246,972,496,68708,8496,17409,12476,144672,72494
4129,4357,59271,60788,956,352,61855,3469,14129,10284,101041,51055
4130,5748,78358,72232,2294,593,81552,4554,24196,14388,183993,84509
4131,6462,50428,52044,1509,576,52440,4778,11248,7993,68440,23134
4132,14458,48287,50913,512,166,50418,10732,10062,7613,56785,19610
4133,13509,53837,56231,1399,621,56128,10345,12205,9023,77964,29078
4151,12759,90782,81550,2896,960,94567,10486,29245,15630,215148,74735
4152,31149,85752,83182,2095,921,89462,24864,27572,16198,217752,94128
4153,2934,76972,76147,2816,1527,79970,2309,23693,14820,218373,98231
4154,7093,95414,88942,1056,397,99381,5741,32075,18463,207116,109951
4155,1071,161639,86859,6015,3797,166850,849,71452,18184,383373,118794
4156,2319,100881,77011,2813,907,104872,1804,37679,16666,288346,97338
4157,12252,64394,65453,2271,718,66947,9664,16819,11539,155268,74041
4158,2316,66152,68240,2544,1062,68901,1862,17125,11725,169400,83997
4159,9114,71097,72279,2672,911,74017,7084,20693,13214,187960,88689
4160,12406,76601,75811,1797,543,79922,9545,24078,14144,220717,101420
4161,10063,61221,63691,1794,565,63744,7958,15099,10976,136971,69381
4163,9926,83585,71520,5164,2172,86818,7369,29778,12928,259029,94318
4164,11999,71035,71778,1518,350,74143,9559,19916,12898,158481,74722
4165,24282,66874,68777,2207,630,69820,18875,18418,12437,167358,82688
4169,11824,90701,78602,3373,1365,94486,9545,30350,13998,229975,45971
4170,18586,95810,87153,1164,411,99468,15799,30280,16509,177182,75954
4171,11517,132680,106258,1543,671,137688,9510,51352,21366,277263,111820
4172,3407,81239,79276,721,-239,84460,2885,22963,14298,140887,67017
4173,5393,68154,70730,1320,342,70706,4409,17673,12752,143766,76667
4174,1994,69445,70049,1370,60,72053,1656,17814,12927,113606,61616
4178,16472,72233,74252,2082,1108,75052,13110,20601,13317,173563,79325
4179,12476,80178,80008,2635,928,83395,9849,24949,15094,210062,103353
4183,1339,55485,51832,4696,3232,58226,905,16350,7842,212619,70451
4184,3672,43126,47330,3448,1504,45437,2126,11873,6463,116733,45587
4205,3026,50997,55116,2919,958,53004,2218,11477,8557,92709,40439
4207,40428,56364,58019,2072,539,58913,31060,13462,9414,94882,38456
4208,15213,65985,66002,1537,207,68939,12114,17462,11704,113582,55170
4209,47053,60709,60379,1432,241,63292,36737,15471,9685,80599,31156
4210,14592,65856,65164,2640,1040,68814,11560,17606,11104,115867,55120
4211,39214,61092,60649,2944,1200,63712,30051,16030,9772,114411,49438
4212,21917,76062,70172,3004,1336,79805,16500,24981,12222,214685,65324
4213,19373,69679,64935,3778,1795,72777,14655,21206,11206,146920,62054
4214,24592,62385,60203,3598,2024,65119,18149,17992,9657,123543,45542
4215,34667,56755,54077,4517,2172,59278,25339,15248,7823,109318,26621
4216,24616,75591,64124,5319,2579,79081,18097,25977,10642,206109,62394
4217,30516,77045,61494,6938,3532,81341,22301,27395,9360,229135,36940
4218,24754,125459,66954,5608,2955,129633,19042,54315,11414,207108,49751
4220,21577,72616,68265,4513,2138,75978,16776,21743,11446,168167,57695
4221,18659,72295,65644,4361,2430,75683,14482,21915,10784,161808,63747
4223,9652,71710,65228,5551,3118,75013,7327,22266,10731,181625,68975
4224,4698,68470,64030,4903,2811,71438,3687,19396,10639,150027,57163
4225,6010,67326,59025,6761,3940,70945,4443,20800,8671,226396,51917
4226,23544,63247,62549,4168,1838,66171,17655,17827,10159,144163,50379
4227,14853,63877,63442,2606,1262,66625,11543,17154,9980,107699,44996
4228,3605,80912,66190,5650,3244,84902,2696,28177,11803,176585,72801
4230,117,69584,79351,6039,6375,73880,81,23409,13617,328930,115375
